id,year,state_name,state_code,district_name,district_code,irrigated_area_type,area_classification,area_sub_classification,irrigated_area,old_district_name
18553,2000-2001,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Canal,Private,,Karimnagar
18554,2000-2001,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Other Source,Other Source,4302.0,Karimnagar
18555,2000-2001,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Tank,Tank,47586.0,Karimnagar
18556,2000-2001,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Other Well,254923.0,Karimnagar
18557,2000-2001,Telangana,36,Karimnagar,508.0,Gross Irrigated Area,Well,Tubewell,8139.0,Karimnagar
18558,2000-2001,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Government,79162.0,Karimnagar
18559,2000-2001,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Canal,Private,,Karimnagar
18560,2000-2001,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Other Source,Other Source,2719.0,Karimnagar
18561,2000-2001,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Tank,Tank,34710.0,Karimnagar
18562,2000-2001,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Other Well,174651.0,Karimnagar
18563,2000-2001,Telangana,36,Karimnagar,508.0,Net Irrigated Area,Well,Tubewell,4629.0,Karimnagar
18564,2000-2001,Telangana,36,Khammam,509.0,Gross Irrigated Area,Canal,Government,69066.0,Khammam
