id,year,state_name,state_code,district_name,district_code,crop_name,crop_code,crop_type,season,area,area_unit,production,production_unit,yield,yield_unit,old_district_name
429833,2021-2022,Telangana,36,Wanaparthy,693,Onion,708.0,Vegetable,Rabi,42.0,Hectare,984.0,Tonnes,23.429,Tonnes/Hectare,Mahabubnagar
429834,2021-2022,Telangana,36,Wanaparthy,693,Onion,708.0,Vegetable,Total,901.0,Hectare,22267.0,Tonnes,24.714,Tonnes/Hectare,Mahabubnagar
429835,2021-2022,Telangana,36,Wanaparthy,693,Ragi,105.0,Cereals,Kharif,6.0,Hectare,13.0,Tonnes,2.167,Tonnes/Hectare,Mahabubnagar
429836,2021-2022,Telangana,36,Wanaparthy,693,Ragi,105.0,Cereals,Rabi,70.0,Hectare,132.0,Tonnes,1.886,Tonnes/Hectare,Mahabubnagar
429837,2021-2022,Telangana,36,Wanaparthy,693,Ragi,105.0,Cereals,Total,76.0,Hectare,145.0,Tonnes,1.908,Tonnes/Hectare,Mahabubnagar
429838,2021-2022,Telangana,36,Wanaparthy,693,Rice,101.0,Cereals,Kharif,73746.0,Hectare,265707.0,Tonnes,3.603,Tonnes/Hectare,Mahabubnagar
429839,2021-2022,Telangana,36,Wanaparthy,693,Rice,101.0,Cereals,Rabi,18146.0,Hectare,58847.0,Tonnes,3.243,Tonnes/Hectare,Mahabubnagar
429840,2021-2022,Telangana,36,Wanaparthy,693,Rice,101.0,Cereals,Total,91892.0,Hectare,324554.0,Tonnes,3.532,Tonnes/Hectare,Mahabubnagar
429841,2021-2022,Telangana,36,Wanaparthy,693,Safflower,1008.0,Oilseeds,Rabi,1.0,Hectare,1.0,Tonnes,1.0,Tonnes/Hectare,Mahabubnagar
429842,2021-2022,Telangana,36,Wanaparthy,693,Sesamum,1003.0,Oilseeds,Kharif,1.0,Hectare,0.0,Tonnes,0.0,Tonnes/Hectare,Mahabubnagar
429843,2021-2022,Telangana,36,Wanaparthy,693,Sesamum,1003.0,Oilseeds,Rabi,39.0,Hectare,30.0,Tonnes,0.769,Tonnes/Hectare,Mahabubnagar
429844,2021-2022,Telangana,36,Wanaparthy,693,Sesamum,1003.0,Oilseeds,Total,40.0,Hectare,30.0,Tonnes,0.75,Tonnes/Hectare,Mahabubnagar
429845,2021-2022,Telangana,36,Wanaparthy,693,Small Millets,108.0,Cereals,Kharif,1.0,Hectare,1.0,Tonnes,1.0,Tonnes/Hectare,Mahabubnagar
429846,2021-2022,Telangana,36,Wanaparthy,693,Small Millets,108.0,Cereals,Rabi,1.0,Hectare,1.0,Tonnes,1.0,Tonnes/Hectare,Mahabubnagar
429847,2021-2022,Telangana,36,Wanaparthy,693,Small Millets,108.0,Cereals,Total,2.0,Hectare,2.0,Tonnes,1.0,Tonnes/Hectare,Mahabubnagar
